Study ID	Patient ID	Sample ID	MDM2: mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A2IO	TCGA-AX-A2IO-01	-0.2607
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FS	TCGA-AX-A3FS-01	1.3686
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FT	TCGA-AX-A3FT-01	0.4984
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FV	TCGA-AX-A3FV-01	-0.2836
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FW	TCGA-AX-A3FW-01	1.9933
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FX	TCGA-AX-A3FX-01	2.3932
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3FZ	TCGA-AX-A3FZ-01	0.8454
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G1	TCGA-AX-A3G1-01	1.3529
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G4	TCGA-AX-A3G4-01	-0.6806
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G6	TCGA-AX-A3G6-01	-0.4848
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G7	TCGA-AX-A3G7-01	-0.6601
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G8	TCGA-AX-A3G8-01	0.6125
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3G9	TCGA-AX-A3G9-01	0.8805
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3GB	TCGA-AX-A3GB-01	1.8231
ucec_tcga_pan_can_atlas_2018	TCGA-AX-A3GI	TCGA-AX-A3GI-01	-0.5345
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JN	TCGA-B5-A0JN-01	-0.9953
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JR	TCGA-B5-A0JR-01	-0.3032
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JS	TCGA-B5-A0JS-01	2.0456
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JT	TCGA-B5-A0JT-01	2.3284
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JU	TCGA-B5-A0JU-01	1.003
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JV	TCGA-B5-A0JV-01	1.6654
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JX	TCGA-B5-A0JX-01	2.1096
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JY	TCGA-B5-A0JY-01	1.5244
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0JZ	TCGA-B5-A0JZ-01	0.7888
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K0	TCGA-B5-A0K0-01	0.761
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K1	TCGA-B5-A0K1-01	1.8941
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K2	TCGA-B5-A0K2-01	2.4175
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K3	TCGA-B5-A0K3-01	-1.4163
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K4	TCGA-B5-A0K4-01	-1.1891
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K6	TCGA-B5-A0K6-01	0.5546
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K7	TCGA-B5-A0K7-01	1.3402
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K8	TCGA-B5-A0K8-01	0.1161
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A0K9	TCGA-B5-A0K9-01	0.8155
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11E	TCGA-B5-A11E-01	0.7587
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11F	TCGA-B5-A11F-01	1.2674
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11G	TCGA-B5-A11G-01	2.4303
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11H	TCGA-B5-A11H-01	1.9408
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11I	TCGA-B5-A11I-01	-0.2935
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11J	TCGA-B5-A11J-01	3.3934
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11L	TCGA-B5-A11L-01	1.7547
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11M	TCGA-B5-A11M-01	2.1822
